name,sport,team1
Daniel Carlson,fbs,Auburn Tigers
Gus Malzahn,fbs,Auburn Tigers
#CitrusBowl,fbs,Citrus Bowl
Dabo Swinney,fbs,Clemson Tigers
#FiestaBowl,fbs,Fiesta Bowl
Chark,fbs,Louisiana State U Tigers 
Derrius Guice,fbs,Louisiana State U Tigers 
Etling,fbs,Louisiana State U Tigers 
Pete Jenkins,fbs,Louisiana State U Tigers 
#CFPNationalChampionship,fbs,NCAA FBS Championship
Brian Kelly,fbs,Notre Dame Fighting Irish
Josh Adams,fbs,Notre Dame Fighting Irish
Julian Love,fbs,Notre Dame Fighting Irish
Nyles Morgan,fbs,Notre Dame Fighting Irish
Wimbush,fbs,Notre Dame Fighting Irish
Tyreke Johnson,fbs,Ohio State U Buckeyes
#OrangeBowl,fbs,Orange Bowl
#OutbackBowl,fbs,Outback Bowl
#PeachBowl,fbs,Peach Bowl
Jalen Hurts,fbs,U of Alabama Crimson Tide
Mack Wilson,fbs,U of Alabama Crimson Tide
Kevin Sumlin,fbs,U of Arizona Wildcats
Lamar Jackson,fbs,U of Louisville Cardinals
Manny Diaz,fbs,U of Miami Hurricanes
Mark Richt,fbs,U of Miami Hurricanes
Rosier,fbs,U of Miami Hurricanes
Brad Robbins,fbs,U of Michigan Wolverines
Mo Hurst,fbs,U of Michigan Wolverines
Quinn Nordin,fbs,U of Michigan Wolverines
Scott Frost,fbs,U of Nebraska Cornhuskers
Rico Dowdle,fbs,U of South Carolina Gamecocks
Jauan Jennings,fbs,U of Tennessee Volunteers
Danny Davis,fbs,U of Wisconsin Badgers
Van Ginkel,fbs,U of Wisconsin Badgers
Ken Niumatalolo,fbs,US Naval Academy
#USHLTPG,hockey,US Hockey
Keith Jackson,media,ABC Sports
AP Poll,media,Associated Press
AP Top 25,media,Associated Press
Dan Fouts,media,CBS Sports
Jim Nantz,media,CBS Sports
#FFNow,media,ESPN
Lee Corso,media,ESPN
Steve Levy,media,ESPN
Jason Mendoza,media,fictional Jacksonville Jaguars fan
Gus Johnson,media,Fox Sports
Pam Oliver,media,Fox Sports
Gerrit Cole,mlb,Houston Astros
Rene Rivera,mlb,Los Angeles Angels
Dave Roberts,mlb,Los Angeles Dodgers
Starlin Castro,mlb,Miami Marlins
Addison Reed,mlb,Minnesota Twins
Adrian Gonzalez,mlb,New York Mets
Roberto Clemente,mlb,Pittsburgh Pirates
Megan Anderson,mma,Invicta FC
#RIZIN,mma,Rizin Fighting Federation
#RIZIN2017,mma,Rizin Fighting Federation
#RIZINFF,mma,Rizin Fighting Federation
#InvictaFC27,mma,UFC
#UFC219,mma,UFC
Uriah Hall,mma,UFC
Mike Muscala,nba,Atlanta Hawks
Kris Dunn,nba,Chicago Bulls
Zach LaVine,nba,Chicago Bulls
Trey Lyles,nba,Denver Nuggets
